App,Website,category,auth_methods,self_serve_vs_gated,api_surface,buildability_verdict,evidence,confidence,needs_human_review
Salesforce,salesforce.com,Hosted MCP Servers – a Salesforce service for deploying custom server-side code that can be invoked via HTTP endpoints,OAuth2 (Salesforce OAuth flow) and session token,"Gated – requires a Salesforce account, often a paid or partner plan and admin approval to provision hosted MCP servers",Custom REST endpoints exposed by the hosted MCP server; callable via standard HTTP requests (agent‑callable) but no public GraphQL API,"Buildable – a developer can deploy code to a hosted MCP server and expose REST endpoints for an agent, but the main blocker is the gated access and need for Salesforce OAuth credentials","https://developer.salesforce.com/docs/platform/hosted-mcp-servers/overview, https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/hosted-mcp-servers-overview.html, https://developer.salesforce.com/docs/platform/hosted-mcp-servers/guide/servers-reference.html",Medium,False
HubSpot,hubspot.com,HubSpot MCP Server – a platform for integrating AI tools with HubSpot via a remote server,"OAuth2 (HubSpot's standard app authentication), possibly API key for server‑to‑server calls",Self‑serve – developers can create a HubSpot app and obtain credentials through the HubSpot developer portal,Public REST API for the remote MCP server; callable by HubSpot agents and can expose AI‑tool skills,"Buildable as an agent toolkit today, but limited public documentation may require additional clarification of the MCP spec",https://developers.hubspot.com/ai-tools/mcp; https://developers.hubspot.com/docs/apps/developer-platform/build-apps/integrate-with-the-remote-hubspot-mcp-server; https://developers.hubspot.com/changelog/remote-hubspot-mcp-server-is-now-generally-available,Inferred,True
Pipedrive,pipedrive.com,CRM (sales pipeline and contact management) platform,API key (personal API token) and OAuth2,Self‑serve – developers can obtain an API key from their account settings without contacting sales,"Public REST API covering deals, contacts, activities, pipelines, etc.; no GraphQL; suitable for MCP server or agent‑callable skills",Buildable today – the REST API and self‑service API key enable integration; the only potential blocker is handling OAuth2 flow if needed,"https://support.pipedrive.com/en/article/how-can-i-find-my-personal-api-key, https://pipedrive.readme.io/docs/how-to-find-the-api-token, https://pipedrive.readme.io/docs/core-api-concepts-authentication",High,False
Attio,attio.com,CRM / Relationship Management platform,OAuth2 (token‑based) or API key,Self‑serve – developers can obtain credentials after creating an Attio account,Public GraphQL API (documented SDK) – suitable for MCP server or agent‑callable skills,Buildable today; main blocker is obtaining concrete auth token details,"https://docs.attio.com/sdk/graphql/graphql, https://docs.attio.com/sdk/guides/querying-attio-data, https://docs.attio.com/sdk/graphql/run-query",Inferred,False
Twenty,twenty.com,CRM / sales pipeline management platform,OAuth2,Self-serve (developers can obtain OAuth credentials via the developer portal),"Public REST API covering contacts, companies, deals, activities, and other CRM entities; suitable for MCP server or agent-callable skills",Buildable as an agent toolkit today; no major blockers beyond implementing OAuth2 flow,"https://docs.twenty.com/developers/extend/oauth, https://twentyhq-twenty.mintlify.app/developers/api/authentication",Medium,False
Podio,podio.com,Collaboration / Project Management platform (Podio) enabling custom workspaces and app integrations,OAuth2 (standard Podio API authentication),Self‑serve – developers can register an app in the Podio developer portal and obtain OAuth credentials without contacting sales,"Public REST API covering workspaces, items, apps, users, and MCP server integration; can be called from external agents or MCP servers",Buildable as an agent toolkit today; main blocker is obtaining OAuth tokens and respecting rate limits,"https://www.progress.com/podio/documentation/using-podio/podio-mcp-server, https://zapier.com/mcp/podio, https://support.sharefile.com/s/article/Podio-MCP-Server-Integration-Guide-ShareFile-1778762090571",Inferred,False
Zoho CRM,zoho.com/crm,"Customer Relationship Management (CRM) platform with APIs for managing contacts, leads, deals, etc.",OAuth2 (self‑client flow),Self‑serve – developers can register a client and obtain credentials via Zoho's developer portal without needing a sales contact.,Public REST API (v8) covering core CRM modules; suitable for MCP server or agent‑callable skills.,Buildable today; main consideration is needing a Zoho CRM account (often paid) for full production access.,https://www.zoho.com/developer/oauth/self-client/overview.html; https://www.zoho.com/crm/developer/docs/api/v8/register-client.html; https://www.zoho.com/developer/oauth/self-client/authorization-code-flow.html,Medium,False
Close,close.com,CRM / Sales automation platform,API key,"Self‑serve (API key can be generated in account settings, but requires a paid Close account)","Public REST API for contacts, leads, opportunities, etc.; also supports MCP server integration for custom extensions",Buildable as an agent toolkit today; main blocker is the need for a Close API key and a paid/active Close account,"https://help.close.com/docs/mcp-server, https://close.com/integrations/close-mcp, https://mcp.directory/servers/close",Inferred,False
Copper,copper.com,"CRM (Customer Relationship Management) platform for managing contacts, pipelines, and communications",OAuth2 (standard for Copper API) and API key (used for server‑to‑server calls),"Self‑serve: developers can sign up for a Copper account and obtain API credentials via the developer portal, though full access may require a paid plan","Public REST API covering contacts, companies, leads, tasks, pipelines, etc.; can be wrapped as an MCP server or called directly by agent skills",Buildable as an agent toolkit today; main blocker is the need to implement OAuth2 flow and handle rate limits,https://github.com/dazanza/copper-mcp https://github.com/hasankhadra/copper-mcp https://www.synchub.io/connectors/copper/mcp,Inferred,False
DealCloud,api.docs.dealcloud.com,DealCloud MCP (DealCloud API) – a platform for integrating with DealCloud CRM data,Likely OAuth2 or API key (inferred),Probably gated – requires partnership or admin approval (inferred),RESTful MCP server endpoints; documented public REST API (inferred),"Can be used as an agent‑callable skill via HTTP calls, but lack of detailed docs is a blocker (inferred)",https://api.docs.dealcloud.com/mcp; https://api.docs.dealcloud.com/mcp/getting-started; https://api.docs.dealcloud.com/mcp/tools,Inferred,True
